epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.2781,1.79898,2.74249,1.77368,0.42524,0.35247,0.35062,0.20114,1.58368,2.46234,1.63202,0.000552902,0.000552902,0.000552902
2,129.463,1.78875,2.31862,1.77921,0.56739,0.34079,0.40063,0.22965,1.55304,2.13208,1.61449,0.00108662,0.00108662,0.00108662
3,189.014,1.79511,2.20852,1.77586,0.68631,0.30701,0.39198,0.2483,1.72846,1.91599,1.63742,0.00159833,0.00159833,0.00159833
4,247.693,1.75544,2.11575,1.76046,0.55103,0.43045,0.50949,0.33006,1.41023,1.58884,1.5116,0.00156798,0.00156798,0.00156798
5,306.86,1.71998,2.09432,1.73013,0.56015,0.45694,0.52671,0.34611,1.39131,1.45581,1.4531,0.00153497,0.00153497,0.00153497
6,367.317,1.70846,2.03915,1.71742,0.88608,0.3187,0.46011,0.31922,1.35278,1.70305,1.50176,0.00150197,0.00150197,0.00150197
7,425.531,1.68147,1.98014,1.68523,0.74008,0.41492,0.53826,0.36284,1.34593,1.46282,1.44701,0.00146896,0.00146896,0.00146896
8,484.389,1.66227,1.94821,1.68021,0.71586,0.39254,0.52683,0.35102,1.34841,1.53252,1.42972,0.00143595,0.00143595,0.00143595
9,542.514,1.62746,1.91659,1.65583,0.58045,0.44307,0.52922,0.35338,1.31961,1.65402,1.42947,0.00140295,0.00140295,0.00140295
10,602.339,1.62936,1.8991,1.67012,0.6114,0.48466,0.56974,0.38506,1.29096,1.36502,1.45183,0.00136994,0.00136994,0.00136994
11,660.411,1.62391,1.84777,1.6616,0.57923,0.48374,0.55175,0.37077,1.28747,1.42429,1.42577,0.00133693,0.00133693,0.00133693
12,719.558,1.58925,1.81602,1.61663,0.65912,0.47607,0.57677,0.38692,1.28004,1.33182,1.4334,0.00130393,0.00130393,0.00130393
13,777.266,1.57509,1.81785,1.62239,0.68839,0.49991,0.5963,0.39696,1.28559,1.32407,1.43793,0.00127092,0.00127092,0.00127092
14,837.435,1.57523,1.79995,1.6267,0.65945,0.53462,0.61696,0.41737,1.26003,1.29572,1.38877,0.00123791,0.00123791,0.00123791
15,896.188,1.57451,1.79664,1.61067,0.66007,0.53178,0.61027,0.41177,1.23899,1.30434,1.39906,0.00120491,0.00120491,0.00120491
16,954.924,1.54053,1.7447,1.59236,0.62802,0.52581,0.61186,0.41064,1.22557,1.30412,1.36725,0.0011719,0.0011719,0.0011719
17,1017.84,1.5318,1.72465,1.58956,0.65152,0.52676,0.61666,0.42029,1.20966,1.25619,1.34865,0.00113889,0.00113889,0.00113889
18,1080,1.5584,1.73651,1.6091,0.69813,0.53427,0.6311,0.42734,1.21818,1.24048,1.38107,0.00110589,0.00110589,0.00110589
19,1140.53,1.51103,1.67433,1.5585,0.65161,0.55031,0.63371,0.42575,1.22518,1.23641,1.34002,0.00107288,0.00107288,0.00107288
20,1201.45,1.52571,1.70766,1.58564,0.64298,0.55603,0.63307,0.43887,1.192,1.21679,1.3589,0.00103987,0.00103987,0.00103987
21,1263.65,1.51017,1.69407,1.5709,0.67398,0.56163,0.64567,0.43796,1.18542,1.21628,1.35496,0.00100687,0.00100687,0.00100687
22,1322.9,1.49312,1.65597,1.56803,0.68591,0.55577,0.65984,0.44751,1.18149,1.16361,1.34362,0.000973861,0.000973861,0.000973861
23,1384.64,1.49847,1.63629,1.55944,0.65139,0.59409,0.66029,0.45259,1.1726,1.16056,1.34221,0.000940855,0.000940855,0.000940855
24,1444.75,1.46188,1.61146,1.53916,0.69766,0.57021,0.66047,0.44646,1.15791,1.16299,1.34956,0.000907848,0.000907848,0.000907848
25,1507.02,1.47869,1.60695,1.54613,0.72929,0.55445,0.66339,0.45806,1.14895,1.14729,1.33265,0.000874842,0.000874842,0.000874842
26,1568.76,1.4747,1.59906,1.53406,0.70136,0.57203,0.65863,0.45383,1.16554,1.15182,1.32692,0.000841835,0.000841835,0.000841835
27,1629.99,1.45097,1.5698,1.52973,0.6798,0.59365,0.67417,0.45914,1.14223,1.15327,1.3207,0.000808828,0.000808828,0.000808828
28,1690.47,1.45402,1.56938,1.52765,0.69027,0.56073,0.65777,0.45295,1.15033,1.14197,1.31701,0.000775822,0.000775822,0.000775822
29,1749.42,1.45522,1.56546,1.52562,0.7015,0.59239,0.68081,0.46173,1.14684,1.12164,1.3242,0.000742815,0.000742815,0.000742815
30,1807.94,1.43461,1.54212,1.5126,0.71331,0.58147,0.67615,0.46575,1.14331,1.12231,1.31295,0.000709809,0.000709809,0.000709809
31,1867.11,1.44676,1.5509,1.51841,0.72042,0.57646,0.6769,0.46307,1.14734,1.10953,1.32061,0.000676802,0.000676802,0.000676802
32,1927.46,1.42134,1.5136,1.49067,0.65682,0.59728,0.67459,0.46897,1.13176,1.08481,1.29888,0.000643795,0.000643795,0.000643795
33,1985.89,1.40797,1.50856,1.49135,0.72076,0.59754,0.69031,0.47348,1.1445,1.07965,1.31932,0.000610789,0.000610789,0.000610789
34,2045.27,1.42963,1.51027,1.50659,0.73363,0.58166,0.68917,0.47873,1.11083,1.07496,1.29495,0.000577782,0.000577782,0.000577782
35,2103.25,1.41899,1.49966,1.49649,0.71684,0.59083,0.68842,0.47696,1.10258,1.08276,1.29337,0.000544776,0.000544776,0.000544776
36,2163.26,1.41465,1.49479,1.5019,0.70342,0.60236,0.68652,0.47641,1.11796,1.07856,1.29078,0.000511769,0.000511769,0.000511769
37,2221.28,1.40088,1.47342,1.48245,0.70393,0.60391,0.69375,0.48011,1.10818,1.05173,1.28346,0.000478762,0.000478762,0.000478762
38,2280.39,1.38599,1.45481,1.47039,0.71027,0.59176,0.68098,0.47179,1.13177,1.07379,1.30914,0.000445756,0.000445756,0.000445756
39,2341.26,1.39742,1.45156,1.47877,0.73113,0.60528,0.70509,0.48572,1.1068,1.03371,1.28626,0.000412749,0.000412749,0.000412749
40,2400.12,1.37687,1.43757,1.46883,0.69353,0.61413,0.7009,0.48425,1.1192,1.03065,1.30197,0.000379743,0.000379743,0.000379743
41,2458.33,1.46571,1.4614,1.54859,0.74513,0.60116,0.70878,0.4941,1.08613,1.02144,1.28222,0.000346736,0.000346736,0.000346736
42,2514.18,1.43934,1.41724,1.53211,0.73202,0.62602,0.71632,0.48945,1.1089,1.00905,1.28776,0.000313729,0.000313729,0.000313729
43,2570.94,1.43641,1.39517,1.52169,0.74801,0.61107,0.71227,0.48824,1.1014,1.00994,1.28046,0.000280723,0.000280723,0.000280723
44,2627.36,1.4181,1.37586,1.51272,0.73922,0.61722,0.71294,0.49388,1.09651,1.00133,1.27947,0.000247716,0.000247716,0.000247716
45,2683.03,1.40566,1.35352,1.50458,0.72762,0.63501,0.71702,0.49671,1.0911,0.99337,1.27998,0.00021471,0.00021471,0.00021471
46,2738.65,1.40475,1.34127,1.5116,0.73263,0.63192,0.72436,0.49599,1.1025,0.9954,1.28607,0.000181703,0.000181703,0.000181703
47,2796.49,1.40559,1.32734,1.50477,0.74353,0.61518,0.72668,0.50098,1.09531,0.98182,1.28118,0.000148696,0.000148696,0.000148696
48,2852.01,1.38824,1.30226,1.4873,0.73151,0.62381,0.727,0.50087,1.09002,0.97639,1.27952,0.00011569,0.00011569,0.00011569
49,2907.74,1.38656,1.30995,1.49103,0.75579,0.61449,0.72435,0.50213,1.09207,0.97507,1.28144,8.26832e-05,8.26832e-05,8.26832e-05
50,2964.33,1.37816,1.29226,1.48635,0.7599,0.61621,0.72702,0.50297,1.09222,0.97694,1.28169,4.96766e-05,4.96766e-05,4.96766e-05
